date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:19:44	865550/865550	---MCZ	200	added ('OK')	text/html	etag:W/%22d4f134c7e8f9d03cf283f3860f069c1f%22	https://speakupscholarsorg.wixsite.com/speakup-scholars	C:/My%20Web%20Sites/SpeakUp%20Scholars/speakupscholarsorg.wixsite.com/speakup-scholars.html	(from )
20:19:44	483/483	---M--	200	added ('OK')	text/plain	etag:W/%221e3-Zvhxyb0e/s0tfh8v+u1GjxNb5Ww%22	https://speakupscholarsorg.wixsite.com/robots.txt		(from )
20:19:44	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/SpeakUp%20Scholars/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://speakupscholarsorg.wixsite.com/speakup-scholars)
20:19:44	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/SpeakUp%20Scholars/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://speakupscholarsorg.wixsite.com/speakup-scholars)
20:19:45	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jul%202025%2003:19:46%20GMT	https://speakupscholarsorg.wixsite.com/c	C:/My%20Web%20Sites/SpeakUp%20Scholars/speakupscholarsorg.wixsite.com/c.3.delayed	(from https://speakupscholarsorg.wixsite.com/speakup-scholars)
20:19:45	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jul%202025%2003:19:46%20GMT	https://speakupscholarsorg.wixsite.com/t	C:/My%20Web%20Sites/SpeakUp%20Scholars/speakupscholarsorg.wixsite.com/t.4.delayed	(from https://speakupscholarsorg.wixsite.com/speakup-scholars)
20:19:45	19040/19040	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f8f3c8212589385dbcd99e01e0faa822%22	https://static.parastorage.com/services/events-viewer/1.3704.0/client-viewer/180.chunk.min.js	C:/My%20Web%20Sites/SpeakUp%20Scholars/static.parastorage.com/services/events-viewer/1.3704.0/client-viewer/180.chunk.min.js	(from https://speakupscholarsorg.wixsite.com/speakup-scholars)
20:19:45	2510/2510	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jul%202025%2003:19:46%20GMT	https://speakupscholarsorg.wixsite.com/	C:/My%20Web%20Sites/SpeakUp%20Scholars/speakupscholarsorg.wixsite.com/index.html	(from https://speakupscholarsorg.wixsite.com/speakup-scholars)
20:19:46	14381/14381	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b9af93fe7dbe70de6098cd83859b286a%22	https://static.parastorage.com/services/events-viewer/1.3704.0/client-viewer/524.chunk.min.js	C:/My%20Web%20Sites/SpeakUp%20Scholars/static.parastorage.com/services/events-viewer/1.3704.0/client-viewer/524.chunk.min.js	(from https://speakupscholarsorg.wixsite.com/speakup-scholars)
20:19:46	23750/23750	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e2a8bd6f6fff277a93886e903adc332b%22	https://static.parastorage.com/services/events-viewer/1.3704.0/client-viewer/SingleEvent.chunk.min.js	C:/My%20Web%20Sites/SpeakUp%20Scholars/static.parastorage.com/services/events-viewer/1.3704.0/client-viewer/SingleEvent.chunk.min.js	(from https://speakupscholarsorg.wixsite.com/speakup-scholars)
20:19:46	15557/15557	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f35a447be3843753370c270cecd51ae%22	https://static.parastorage.com/services/form-app/1.1938.0/client-viewer/9473.chunk.min.js	C:/My%20Web%20Sites/SpeakUp%20Scholars/static.parastorage.com/services/form-app/1.1938.0/client-viewer/9473.chunk.min.js	(from https://speakupscholarsorg.wixsite.com/speakup-scholars)
